Model,Macro-F1,Micro-F1,Macro AUC-PR,Micro AUC-PR
Majority,0.0,0.0,0.078,0.14645266548433966
CNN,0.006666666666666666,0.021739130434782608,0.13968954953166954,0.15944382965936893
GNN,0.04345864661654135,0.13725490196078433,0.27543905647013533,0.2243510589418661
Context BERT,0.06538461538461537,0.26262626262626265,0.2610207700712921,0.37632642962320206
Early-Concatenation Fusion,0.04894230769230769,0.15730337078651685,0.25355198868355394,0.32971361260437754
Cross-Attention Fusion,0.1127518315018315,0.24242424242424243,0.2820407379035753,0.43394735891813463
